Order_ID,Customer_ID,Material_ID,Customer_Type,Material_Group,Price,Size,Discount,Quantity,Order_Date,Season,Brand,Channel,Customer_Purchase_Count,Return_Risk_Prob,Return_Risk_Flag
ORD10041,C9785,P1195,repeat,shirts,1999,XL,37.42,5,06-06-2024 14:00,Winter,BrandB,Retail Store,7,0.41,0
ORD10042,C3045,P1995,repeat,shoes,499,S,14.34,2,19-06-2024 15:00,Spring,BrandB,Online,8,0.24,0
ORD10043,C7201,P1695,repeat,shirts,999,M,11.89,1,01-02-2024 18:00,Autumn,BrandD,Retail Store,8,0.06,0
ORD10044,C2291,P1590,new,jackets,2499,L,30.55,3,19-02-2024 06:00,Summer,BrandA,Online,1,0.76,1
ORD10045,C5803,P1978,new,pants,499,L,12.7,1,26-09-2024 11:00,Summer,BrandA,Online,1,0.4,0
ORD10046,C6925,P1014,repeat,dresses,1999,L,43.28,2,31-03-2024 18:00,Spring,BrandC,Retail Store,10,0.23,0
ORD10047,C4150,P1379,new,pants,499,M,56.24,1,28-05-2024 21:00,Summer,BrandD,Online,1,0.71,1
ORD10048,C2139,P1833,repeat,dresses,999,S,23.62,1,07-07-2024 18:00,Autumn,BrandA,Marketplace,10,0.34,0
ORD10049,C1750,P1372,repeat,dresses,1999,L,19.35,2,17-03-2024 21:00,Autumn,BrandB,Retail Store,6,0.18,0
ORD10050,C4733,P1016,new,shirts,2599,XL,10.55,2,02-01-2024 22:00,Winter,BrandB,Marketplace,0,0.66,1
ORD10051,C5741,P1309,repeat,bags,2599,L,23.42,1,23-05-2024 11:00,Summer,BrandB,Online,8,0.23,0
ORD10052,C2307,P1918,new,t-shirts,999,M,33.58,3,16-03-2024 14:00,Summer,BrandC,Marketplace,0,0.76,1
ORD10053,C4814,P1314,repeat,jackets,499,XL,22.38,4,10-01-2024 09:00,Winter,BrandA,Retail Store,10,0.4,0
ORD10054,C2654,P1514,new,jackets,1499,M,37.38,1,09-10-2024 04:00,Spring,BrandD,Marketplace,1,0.65,1
ORD10055,C7227,P1838,repeat,dresses,2499,M,39.75,3,14-03-2024 00:00,Winter,BrandA,Online,9,0.58,1
ORD10056,C5554,P1888,repeat,jackets,2499,M,5.87,1,21-08-2024 00:00,Summer,BrandD,Marketplace,4,0.26,0
ORD10057,C8428,P1127,repeat,shirts,1499,M,41.87,2,20-05-2024 20:00,Spring,BrandD,Marketplace,8,0.31,0
ORD10058,C6977,P1716,new,shirts,1499,L,54.02,3,01-11-2024 04:00,Autumn,BrandA,Online,0,0.8,1
ORD10059,C3664,P1511,repeat,shirts,1499,M,1.58,1,08-04-2024 13:00,Autumn,BrandB,Retail Store,4,0.19,0
ORD10060,C7065,P1664,new,pants,999,M,33.08,1,10-04-2024 08:00,Winter,BrandB,Marketplace,1,0.67,1
ORD10061,C6820,P1466,new,shoes,1999,M,36.23,2,25-03-2024 03:00,Autumn,BrandD,Retail Store,0,0.66,1
ORD10062,C4432,P1423,repeat,pants,1499,S,42.59,3,08-09-2024 17:00,Summer,BrandB,Online,3,0.53,1
ORD10063,C5374,P1420,new,t-shirts,999,L,23.15,1,09-08-2024 22:00,Winter,BrandC,Retail Store,0,0.6,1
ORD10064,C2169,P1360,repeat,shoes,2599,M,49.12,1,07-10-2024 15:00,Summer,BrandC,Online,4,0.5,1
ORD10065,C3803,P1360,repeat,pants,499,S,32.39,3,15-09-2024 13:00,Summer,BrandD,Marketplace,5,0.42,0
ORD10066,C9751,P1848,repeat,dresses,499,L,24.54,1,20-12-2024 05:00,Spring,BrandB,Online,3,0.44,0
ORD10067,C5010,P1555,repeat,shirts,1499,L,43.16,1,06-07-2024 18:00,Spring,BrandD,Online,5,0.23,0
ORD10068,C3677,P1436,new,t-shirts,499,L,55.64,1,29-10-2024 16:00,Spring,BrandC,Online,1,0.69,1
ORD10069,C8573,P1535,repeat,shirts,1499,M,48.72,1,17-05-2024 14:00,Autumn,BrandC,Retail Store,20,0.18,0
ORD10070,C7216,P1997,repeat,bags,499,XL,55.84,2,09-04-2024 14:00,Spring,BrandC,Marketplace,4,0.63,1
ORD10071,C5422,P1783,repeat,t-shirts,499,XL,15.96,2,21-05-2024 03:00,Summer,BrandA,Online,4,0.3,0
ORD10072,C4598,P1343,repeat,shirts,1999,L,7.11,1,22-09-2024 16:00,Winter,BrandC,Online,2,0.23,0
ORD10073,C6313,P1116,repeat,shirts,1999,L,32.06,1,29-08-2024 02:00,Winter,BrandB,Online,4,0.29,0
ORD10074,C1916,P1948,repeat,t-shirts,499,M,2.67,1,08-05-2024 08:00,Summer,BrandA,Marketplace,6,0.24,0
ORD10075,C4752,P1180,repeat,t-shirts,1999,XL,40.48,2,14-06-2024 17:00,Autumn,BrandC,Retail Store,6,0.32,0
ORD10076,C1525,P1469,repeat,t-shirts,1499,M,14.4,3,30-11-2024 10:00,Winter,BrandB,Online,4,0.32,0
ORD10077,C6168,P1438,repeat,t-shirts,2499,M,27.26,3,29-11-2024 18:00,Summer,BrandC,Retail Store,3,0.34,0
ORD10078,C7572,P1382,repeat,shirts,1499,M,39.33,1,05-07-2024 23:00,Summer,BrandB,Online,7,0.21,0
ORD10079,C5386,P1181,new,shoes,1999,S,28.99,1,25-10-2024 15:00,Summer,BrandB,Online,0,0.72,1
ORD10080,C2084,P1566,repeat,shirts,999,XL,14.16,1,03-02-2024 09:00,Winter,BrandC,Online,6,0.21,0
ORD10081,C4456,P1609,new,jackets,499,L,52.82,3,21-06-2024 02:00,Winter,BrandC,Marketplace,1,0.88,1
ORD10082,C6155,P1166,repeat,dresses,1999,L,45.87,1,03-01-2024 02:00,Spring,BrandA,Marketplace,7,0.36,0
ORD10083,C4483,P1555,repeat,pants,2599,L,36.06,3,22-10-2024 19:00,Spring,BrandC,Marketplace,5,0.51,1
ORD10084,C9179,P1446,repeat,shirts,2599,M,41.91,1,12-11-2024 11:00,Summer,BrandB,Online,4,0.5,1
ORD10085,C7482,P1390,repeat,pants,1999,S,24.92,1,18-04-2024 06:00,Summer,BrandD,Retail Store,6,0.16,0
ORD10086,C8517,P1291,repeat,pants,1999,L,22.55,4,11-02-2024 22:00,Summer,BrandA,Online,10,0.23,0
ORD10087,C3340,P1865,new,t-shirts,2599,L,9.61,1,10-02-2024 16:00,Summer,BrandB,Marketplace,1,0.52,1
ORD10088,C5339,P1675,new,dresses,1499,M,48.22,1,09-11-2024 04:00,Winter,BrandB,Retail Store,0,0.77,1
ORD10089,C3287,P1705,repeat,jackets,499,L,22.86,1,23-12-2024 21:00,Spring,BrandD,Marketplace,4,0.34,0
ORD10090,C5040,P1696,repeat,shoes,2499,M,41.54,1,16-07-2024 08:00,Autumn,BrandC,Online,15,0.34,0
ORD10091,C9830,P1447,new,shirts,2599,M,18.0,2,19-05-2024 03:00,Summer,BrandB,Marketplace,0,0.7,1
ORD10092,C5304,P1649,repeat,t-shirts,2599,S,47.76,5,09-10-2024 05:00,Spring,BrandD,Retail Store,4,0.55,1
ORD10093,C8019,P1290,new,t-shirts,2599,M,6.31,2,16-03-2024 09:00,Summer,BrandD,Online,0,0.52,1
ORD10094,C7543,P1718,repeat,dresses,1999,L,37.5,1,15-07-2024 01:00,Winter,BrandC,Retail Store,7,0.43,0
ORD10095,C6930,P1635,new,t-shirts,999,L,48.46,2,06-04-2024 01:00,Autumn,BrandD,Marketplace,0,0.64,1
ORD10096,C4593,P1960,repeat,shoes,2599,M,39.62,1,12-07-2024 11:00,Spring,BrandD,Marketplace,4,0.6,1
ORD10097,C3266,P1947,new,dresses,499,L,41.77,2,09-07-2024 16:00,Spring,BrandD,Marketplace,1,0.9,1
ORD10098,C9348,P1927,new,shoes,2499,L,31.56,1,30-04-2024 20:00,Autumn,BrandD,Online,1,0.69,1
ORD10099,C9085,P1877,repeat,shirts,2599,M,33.54,1,17-10-2024 22:00,Winter,BrandD,Marketplace,20,0.31,0
ORD10100,C2489,P1101,repeat,shirts,999,S,3.95,2,10-01-2024 09:00,Autumn,BrandD,Retail Store,5,0.14,0
ORD10101,C1771,P1089,repeat,shirts,2599,XL,15.05,1,19-11-2024 01:00,Spring,BrandB,Online,10,0.36,0
ORD10102,C2796,P1825,repeat,dresses,2499,L,43.32,2,27-12-2024 12:00,Autumn,BrandA,Online,5,0.49,0
ORD10103,C3504,P1857,repeat,pants,2499,XL,56.73,3,14-02-2024 13:00,Winter,BrandC,Online,2,0.71,1
ORD10104,C3621,P1106,repeat,dresses,2599,M,32.51,1,06-11-2024 05:00,Winter,BrandA,Online,3,0.52,1
ORD10105,C7916,P1091,repeat,jackets,499,L,43.54,1,25-08-2024 11:00,Summer,BrandC,Marketplace,7,0.38,0
ORD10106,C2040,P1665,repeat,pants,1499,M,41.01,2,25-07-2024 23:00,Autumn,BrandA,Online,10,0.23,0
ORD10107,C7304,P1016,new,shoes,999,M,59.96,3,02-06-2024 03:00,Autumn,BrandC,Online,0,0.87,1
ORD10108,C7252,P1631,new,t-shirts,2599,M,47.7,1,02-11-2024 18:00,Spring,BrandD,Online,1,0.72,1
ORD10109,C8668,P1954,repeat,pants,1999,M,37.66,1,17-05-2024 03:00,Winter,BrandA,Retail Store,9,0.28,0
ORD10110,C9669,P1421,repeat,shirts,2499,S,6.91,2,07-07-2024 03:00,Autumn,BrandA,Online,2,0.37,0
ORD10111,C5119,P1106,new,pants,999,M,21.76,1,21-11-2024 12:00,Spring,BrandC,Online,0,0.64,1
ORD10112,C1188,P1508,new,shirts,499,S,15.04,2,23-09-2024 15:00,Summer,BrandC,Online,0,0.55,1
ORD10113,C2876,P1767,new,jackets,999,L,51.22,1,03-07-2024 01:00,Autumn,BrandB,Retail Store,1,0.64,1
ORD10114,C9797,P1769,repeat,t-shirts,1999,M,26.77,1,19-04-2024 12:00,Autumn,BrandD,Online,7,0.31,0
ORD10115,C5371,P1638,new,dresses,1999,S,32.12,2,23-11-2024 22:00,Spring,BrandD,Retail Store,0,0.74,1
ORD10116,C6573,P1949,repeat,jackets,499,S,57.89,1,30-05-2024 13:00,Spring,BrandB,Online,2,0.59,1
ORD10117,C2827,P1557,repeat,t-shirts,999,S,50.2,1,26-10-2024 02:00,Winter,BrandC,Online,5,0.49,0
ORD10118,C5808,P1102,repeat,shirts,2599,L,47.39,1,01-04-2024 03:00,Winter,BrandD,Online,8,0.28,0
ORD10119,C8123,P1648,new,jackets,1499,S,8.53,1,12-01-2024 16:00,Winter,BrandC,Online,0,0.59,1
ORD10120,C3591,P1454,repeat,dresses,1499,L,1.37,1,09-06-2024 00:00,Autumn,BrandD,Online,10,0.25,0
ORD10121,C8433,P1515,repeat,t-shirts,2599,S,7.53,1,27-11-2024 17:00,Spring,BrandA,Online,2,0.32,0
ORD10122,C1053,P1595,new,jackets,2499,M,44.42,1,19-09-2024 12:00,Winter,BrandA,Online,1,0.71,1
ORD10123,C5315,P1825,repeat,pants,2599,XL,24.64,4,29-05-2024 10:00,Autumn,BrandD,Marketplace,3,0.57,1
ORD10124,C9201,P1033,repeat,shirts,2499,L,7.05,2,13-12-2024 22:00,Winter,BrandD,Online,2,0.27,0
ORD10125,C3927,P1683,repeat,pants,999,S,44.34,4,08-04-2024 18:00,Summer,BrandD,Marketplace,5,0.4,0
ORD10126,C9317,P1296,new,shoes,2599,L,11.68,1,15-03-2024 23:00,Autumn,BrandB,Marketplace,1,0.67,1
ORD10127,C2743,P1872,new,t-shirts,2499,M,35.34,2,01-07-2024 17:00,Winter,BrandD,Marketplace,0,0.8,1
ORD10128,C5889,P1430,repeat,jackets,1999,L,44.49,1,10-09-2024 03:00,Winter,BrandB,Online,6,0.31,0
ORD10129,C9317,P1216,repeat,shirts,499,L,36.48,1,22-12-2024 08:00,Summer,BrandB,Marketplace,6,0.26,0
ORD10130,C4258,P1228,repeat,dresses,2499,L,59.62,1,22-06-2024 22:00,Summer,BrandA,Online,6,0.49,0
ORD10131,C3504,P1795,new,shoes,2599,XL,26.05,2,08-03-2024 11:00,Winter,BrandD,Online,1,0.86,1
ORD10132,C7126,P1465,new,pants,1499,M,18.71,1,04-07-2024 13:00,Winter,BrandA,Online,0,0.7,1
ORD10133,C3646,P1564,repeat,shirts,2599,L,12.07,1,18-12-2024 14:00,Spring,BrandA,Marketplace,20,0.2,0
ORD10134,C9837,P1390,repeat,pants,1999,M,30.23,1,30-07-2024 18:00,Winter,BrandB,Online,7,0.26,0
ORD10135,C9689,P1117,repeat,jackets,1499,S,51.15,1,02-10-2024 14:00,Winter,BrandC,Marketplace,10,0.55,1
ORD10136,C1009,P1200,repeat,pants,2499,S,56.81,1,14-01-2024 20:00,Spring,BrandB,Online,5,0.51,1
ORD10137,C6310,P1876,new,dresses,2599,S,58.32,1,12-02-2024 23:00,Spring,BrandA,Marketplace,0,0.97,1
ORD10138,C9005,P1480,repeat,t-shirts,2499,L,31.88,2,14-03-2024 03:00,Winter,BrandB,Marketplace,2,0.4,0
ORD10139,C1319,P1973,new,shoes,1999,L,36.32,2,13-06-2024 16:00,Spring,BrandB,Marketplace,0,0.78,1
ORD10140,C2832,P1127,repeat,bags,1499,L,34.89,1,12-07-2024 01:00,Autumn,BrandB,Retail Store,15,0.06,0
ORD10141,C6947,P1359,repeat,bags,499,S,27.96,1,21-06-2024 02:00,Summer,BrandD,Marketplace,2,0.34,0
ORD10142,C6038,P1990,repeat,pants,499,M,9.13,1,15-06-2024 18:00,Autumn,BrandB,Marketplace,8,0.2,0
ORD10143,C4923,P1812,repeat,shoes,1999,XL,3.93,1,27-12-2024 18:00,Summer,BrandA,Online,7,0.18,0
ORD10144,C1949,P1935,new,pants,2599,M,26.2,3,04-05-2024 21:00,Summer,BrandB,Online,1,0.72,1
ORD10145,C4946,P1475,new,pants,2499,L,11.17,1,05-12-2024 07:00,Winter,BrandD,Marketplace,0,0.66,1
ORD10146,C2290,P1422,repeat,shirts,2599,L,53.2,3,26-12-2024 16:00,Summer,BrandA,Online,2,0.63,1
ORD10147,C2403,P1929,repeat,dresses,1999,L,45.7,1,03-01-2024 07:00,Autumn,BrandB,Marketplace,2,0.55,1
ORD10148,C8962,P1840,repeat,dresses,1499,M,37.1,2,11-04-2024 18:00,Winter,BrandA,Online,4,0.57,1
ORD10149,C2133,P1660,repeat,shirts,499,XL,2.84,4,14-01-2024 08:00,Spring,BrandD,Retail Store,4,0.35,0
ORD10150,C9727,P1720,repeat,pants,2499,M,37.33,4,11-08-2024 11:00,Autumn,BrandC,Online,3,0.41,0
ORD10151,C3060,P1803,new,jackets,1499,XL,37.26,1,13-10-2024 12:00,Winter,BrandD,Online,0,0.69,1
ORD10152,C3103,P1758,new,pants,499,M,26.35,1,20-08-2024 23:00,Summer,BrandD,Online,0,0.55,1
ORD10153,C8787,P1405,new,shirts,499,M,39.47,2,01-01-2024 23:00,Autumn,BrandA,Marketplace,1,0.72,1
ORD10154,C3705,P1007,repeat,shoes,999,S,51.47,1,24-11-2024 09:00,Summer,BrandA,Online,15,0.43,0
ORD10155,C5342,P1962,repeat,bags,2499,L,45.48,3,12-05-2024 00:00,Winter,BrandC,Marketplace,4,0.54,1
ORD10156,C9645,P1383,new,pants,1999,M,28.41,2,07-05-2024 21:00,Winter,BrandC,Marketplace,0,0.66,1
ORD10157,C7932,P1800,repeat,dresses,999,M,15.74,3,15-03-2024 01:00,Spring,BrandC,Retail Store,20,0.22,0
ORD10158,C4470,P1229,new,t-shirts,499,M,28.67,1,28-07-2024 03:00,Spring,BrandD,Online,0,0.65,1
ORD10159,C9835,P1519,new,pants,2499,XL,56.76,2,17-10-2024 00:00,Autumn,BrandD,Online,1,0.85,1
ORD10160,C4295,P1290,repeat,t-shirts,2499,L,49.2,1,20-06-2024 11:00,Spring,BrandC,Retail Store,7,0.31,0
ORD10161,C6107,P1274,repeat,shoes,999,L,1.62,2,04-07-2024 15:00,Summer,BrandC,Online,10,0.14,0
ORD10162,C7537,P1900,repeat,dresses,1499,L,46.98,1,16-05-2024 04:00,Summer,BrandC,Retail Store,6,0.35,0
ORD10163,C7118,P1674,repeat,dresses,1499,M,10.23,2,01-10-2024 09:00,Spring,BrandB,Marketplace,8,0.26,0
ORD10164,C8177,P1270,new,dresses,1999,M,34.27,3,31-08-2024 15:00,Spring,BrandB,Online,0,0.8,1
ORD10165,C9479,P1314,repeat,shirts,2499,XL,48.39,3,06-03-2024 14:00,Spring,BrandC,Retail Store,4,0.5,1
ORD10166,C8397,P1858,repeat,t-shirts,2599,S,33.68,2,16-09-2024 08:00,Autumn,BrandD,Marketplace,9,0.28,0
ORD10167,C2982,P1924,repeat,pants,999,M,24.23,1,18-11-2024 02:00,Autumn,BrandA,Marketplace,2,0.36,0
ORD10168,C5061,P1814,new,shirts,499,M,19.28,1,13-05-2024 23:00,Summer,BrandD,Marketplace,0,0.57,1
ORD10169,C4681,P1931,new,shirts,1499,M,18.31,1,16-06-2024 04:00,Autumn,BrandA,Marketplace,1,0.56,1
ORD10170,C2049,P1424,new,dresses,999,M,50.25,1,09-08-2024 16:00,Autumn,BrandC,Online,0,0.87,1
ORD10171,C6539,P1689,new,dresses,1999,M,49.5,2,01-02-2024 06:00,Winter,BrandB,Marketplace,0,0.97,1
ORD10172,C1344,P1247,repeat,shirts,1999,S,49.4,2,17-08-2024 11:00,Summer,BrandB,Marketplace,4,0.54,1
ORD10173,C4770,P1004,new,dresses,2599,M,16.96,5,31-08-2024 15:00,Summer,BrandA,Retail Store,0,0.69,1
ORD10174,C4608,P1921,repeat,pants,2499,M,47.94,1,17-11-2024 19:00,Spring,BrandC,Online,4,0.34,0
ORD10175,C1117,P1930,repeat,dresses,1999,S,2.2,5,13-06-2024 15:00,Winter,BrandB,Online,3,0.47,0
ORD10176,C2163,P1424,repeat,shirts,1999,S,12.39,1,29-12-2024 12:00,Spring,BrandC,Online,9,0.13,0
ORD10177,C1964,P1033,new,dresses,2599,L,30.87,2,15-08-2024 14:00,Autumn,BrandC,Online,1,0.67,1
ORD10178,C4750,P1015,repeat,shoes,2599,M,24.4,5,02-12-2024 15:00,Summer,BrandA,Retail Store,3,0.47,0
ORD10179,C2104,P1026,new,jackets,1499,L,6.71,2,04-06-2024 08:00,Autumn,BrandC,Retail Store,0,0.47,0
ORD10180,C1514,P1157,new,shirts,1499,L,2.5,1,21-10-2024 02:00,Autumn,BrandC,Retail Store,0,0.52,1
ORD10181,C6413,P1809,new,pants,1999,L,36.67,2,12-01-2024 05:00,Winter,BrandA,Online,0,0.66,1
ORD10182,C2160,P1383,repeat,shirts,2599,M,18.81,3,22-02-2024 01:00,Winter,BrandB,Marketplace,7,0.28,0
ORD10183,C9423,P1860,new,jackets,2499,M,0.96,4,11-03-2024 10:00,Summer,BrandD,Online,1,0.64,1
ORD10184,C4899,P1836,repeat,jackets,1499,M,25.85,1,03-04-2024 12:00,Summer,BrandC,Online,10,0.25,0
ORD10185,C5562,P1531,new,pants,1499,L,18.41,3,06-06-2024 21:00,Winter,BrandA,Retail Store,0,0.56,1
ORD10186,C8953,P1839,repeat,dresses,2599,M,34.6,4,07-10-2024 09:00,Winter,BrandB,Online,5,0.53,1
ORD10187,C4510,P1759,repeat,t-shirts,1999,L,55.79,1,30-01-2024 22:00,Winter,BrandC,Online,7,0.44,0
ORD10188,C9834,P1614,repeat,dresses,2499,XL,18.47,1,19-05-2024 22:00,Winter,BrandD,Online,6,0.31,0
ORD10189,C3167,P1325,new,dresses,1999,S,59.83,5,14-11-2024 20:00,Summer,BrandB,Marketplace,0,0.97,1
ORD10190,C8744,P1343,repeat,pants,499,S,5.16,1,08-10-2024 12:00,Summer,BrandA,Retail Store,7,0.14,0
ORD10191,C4981,P1174,repeat,shirts,499,L,5.3,2,19-02-2024 13:00,Autumn,BrandC,Online,7,0.23,0
ORD10192,C8749,P1982,new,jackets,2599,M,42.78,2,11-03-2024 01:00,Autumn,BrandA,Online,0,0.75,1
ORD10193,C7669,P1585,repeat,jackets,2499,S,44.92,1,28-10-2024 05:00,Autumn,BrandD,Retail Store,6,0.32,0
ORD10194,C4119,P1440,repeat,dresses,499,XL,25.37,3,02-04-2024 15:00,Summer,BrandD,Marketplace,15,0.46,0
ORD10195,C2545,P1247,repeat,pants,2599,M,17.16,1,30-05-2024 16:00,Spring,BrandA,Retail Store,8,0.04,0
ORD10196,C2588,P1569,repeat,pants,2499,XL,47.64,2,26-05-2024 10:00,Autumn,BrandC,Marketplace,10,0.5,1
ORD10197,C8062,P1996,new,t-shirts,499,L,57.37,2,29-05-2024 03:00,Spring,BrandA,Retail Store,1,0.7,1
ORD10198,C6804,P1400,new,jackets,999,L,59.39,1,10-09-2024 04:00,Spring,BrandB,Marketplace,1,0.78,1
ORD10199,C7939,P1197,repeat,jackets,1499,M,38.07,1,07-03-2024 02:00,Spring,BrandA,Marketplace,15,0.21,0
ORD10200,C7735,P1631,new,t-shirts,2599,M,44.41,2,25-01-2024 23:00,Winter,BrandD,Marketplace,1,0.81,1
ORD10201,C8651,P1659,repeat,dresses,1999,M,49.33,1,24-06-2024 01:00,Summer,BrandC,Marketplace,3,0.49,0
ORD10202,C1887,P1402,repeat,shirts,2499,S,47.93,1,08-01-2024 23:00,Summer,BrandC,Online,4,0.46,0
ORD10203,C2612,P1848,repeat,shirts,499,M,59.6,1,06-10-2024 07:00,Autumn,BrandD,Marketplace,3,0.56,1
ORD10204,C1993,P1052,repeat,jackets,999,M,48.63,3,23-03-2024 02:00,Autumn,BrandD,Retail Store,5,0.22,0
ORD10205,C7596,P1820,repeat,dresses,499,S,39.75,1,10-07-2024 10:00,Summer,BrandB,Marketplace,5,0.52,1
ORD10206,C6559,P1954,new,shirts,999,M,22.57,1,03-11-2024 02:00,Winter,BrandD,Online,1,0.57,1
ORD10207,C2790,P1591,new,shirts,1999,L,35.88,3,22-05-2024 17:00,Summer,BrandD,Retail Store,0,0.73,1
ORD10208,C5073,P1439,repeat,dresses,1499,S,52.82,1,04-03-2024 19:00,Spring,BrandD,Marketplace,9,0.62,1
ORD10209,C4139,P1131,repeat,shirts,1499,S,18.33,2,20-08-2024 15:00,Summer,BrandC,Online,15,0.15,0
ORD10210,C4116,P1961,repeat,shirts,999,L,1.84,2,10-06-2024 14:00,Winter,BrandD,Retail Store,3,0.21,0
ORD10211,C9786,P1651,repeat,dresses,2599,XL,19.63,1,22-03-2024 02:00,Summer,BrandA,Marketplace,2,0.53,1
ORD10212,C8350,P1399,repeat,dresses,499,M,57.61,1,04-03-2024 20:00,Summer,BrandA,Online,10,0.48,0
